id_client,id_vehicle,id_year,id_claim,claim_nb,claim_amount
A00000009,V01,Year 0,CL01,1,927.16
A00000016,V01,Year 0,CL01,1,555.48
A00000026,V01,Year 0,CL01,1,478.01
A00000040,V01,Year 0,CL01,1,512.83
A00000056,V01,Year 0,CL01,1,1236
A00000070,V01,Year 0,CL01,1,158.28
A00000072,V01,Year 0,CL01,1,-477.91
A00000076,V01,Year 0,CL01,1,-991.69
A00000092,V01,Year 0,CL01,1,1429.82
A00000103,V01,Year 0,CL01,1,1389.39
A00000103,V01,Year 0,CL02,1,419.63
A00000107,V01,Year 0,CL01,1,405.9
A00000125,V01,Year 0,CL01,1,496
A00000136,V01,Year 0,CL01,1,2671.61
A00000140,V01,Year 0,CL01,1,544.38
A00000146,V01,Year 0,CL01,1,126.84
A00000158,V01,Year 0,CL01,1,2603.95
A00000160,V01,Year 0,CL01,1,1966.56
A00000175,V01,Year 0,CL01,1,426.85
A00000179,V01,Year 0,CL01,1,95.08
A00000189,V01,Year 0,CL01,1,1665.68
A00000200,V01,Year 0,CL01,1,215.28
A00000204,V01,Year 0,CL01,1,1236
A00000210,V01,Year 0,CL01,1,231.31
A00000210,V01,Year 0,CL02,1,588.5
A00000217,V01,Year 0,CL01,1,278.75
A00000218,V01,Year 0,CL01,1,358.86
A00000220,V01,Year 0,CL01,1,1145.19
A00000221,V01,Year 0,CL01,1,671.47
A00000221,V01,Year 0,CL02,1,755.66
A00000225,V01,Year 0,CL01,1,275.99
A00000241,V01,Year 0,CL01,1,1040.74
A00000241,V01,Year 0,CL02,1,3481.36
A00000241,V01,Year 0,CL03,1,138.28
A00000241,V01,Year 0,CL04,1,3135.19
A00000263,V01,Year 0,CL01,1,1287
A00000265,V01,Year 0,CL01,1,2021.92
A00000271,V01,Year 0,CL01,1,0
A00000271,V01,Year 0,CL02,1,4916.24
A00000275,V01,Year 0,CL01,1,1236
A00000279,V01,Year 0,CL01,1,1236
A00000297,V01,Year 0,CL01,1,189.87
A00000299,V02,Year 0,CL01,1,11.54
A00000299,V02,Year 0,CL02,1,-622.53
A00000302,V01,Year 0,CL01,1,1283.84
A00000315,V01,Year 0,CL01,1,139.13
A00000320,V01,Year 0,CL01,1,0
A00000332,V01,Year 0,CL01,1,320.73
A00000344,V01,Year 0,CL01,1,1855.11
A00000351,V01,Year 0,CL01,1,106.14
A00000351,V01,Year 0,CL02,1,558.68
A00000351,V01,Year 0,CL03,1,672.89
A00000353,V01,Year 0,CL01,1,131.57
A00000362,V01,Year 0,CL01,1,439.47
A00000369,V01,Year 0,CL01,1,1984.95
A00000377,V01,Year 0,CL01,1,88.98
A00000389,V01,Year 0,CL01,1,124.05
A00000389,V01,Year 0,CL02,1,450.04
A00000390,V01,Year 0,CL01,1,5013.73
A00000400,V01,Year 0,CL01,1,106.14
A00000405,V01,Year 0,CL01,1,-171.12
A00000417,V01,Year 0,CL01,1,287.58
A00000418,V01,Year 0,CL01,1,1236
A00000419,V01,Year 0,CL01,1,1030.76
A00000422,V01,Year 0,CL01,1,1236
A00000444,V01,Year 0,CL01,1,-192.19
A00000453,V01,Year 0,CL01,1,312.57
A00000456,V01,Year 0,CL01,1,-411.53
A00000464,V01,Year 0,CL01,1,-766.25
A00000464,V01,Year 0,CL02,1,-449.59
A00000466,V01,Year 0,CL01,1,1010.41
